Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Expo	0.0444469108214823	1	12.3220039089898	0.000742709784741354	0.134929188821455	0.95	0.026456196749642	0.279410920654399	2016	Right_Arm	pielou_e
Gender	0.00166377114667804	1	0.4612467817026	0.499026849867455	0.00580467586885146	0.95	0	0.080603847921793	2016	Right_Arm	pielou_e
Residuals	0.284962249714542	79	NA	NA	NA	NA	NA	NA	2016	Right_Arm	pielou_e
(Intercept)	3180.66285947785	1	5338.36284297187	8.25012941718362e-125	NA	NA	NA	NA	2015	Right_Arm	shannon
Age_num	0.0197263125477605	1	0.0331082603175056	0.855846986186764	0.000206883817213936	0.95	0	0.0216641183446592	2015	Right_Arm	shannon
Expo	6.80459967435621	1	11.4207080937981	0.000912447739277545	0.0666238532135156	0.95	0.0117582128550606	0.152656366899614	2015	Right_Arm	shannon
Gender	5.38844501941662	1	9.04386159235147	0.0030619503095532	0.0535000887175703	0.95	0.00639345619911165	0.134675006378645	2015	Right_Arm	shannon
Residuals	95.3299864557628	160	NA	NA	NA	NA	NA	NA	2015	Right_Arm	shannon
(Intercept)	1714.72631073847	1	2973.94254968029	1.85006533817184e-64	NA	NA	NA	NA	2016	Right_Arm	shannon
Age_num	1.55746949803284	1	2.70120355710546	0.104246859029067	0.0330619799892842	0.95	0	0.141941779852143	2016	Right_Arm	shannon
Expo	7.4048919273126	1	12.8427044249033	0.000584218001512459	0.139833691802971	0.95	0.0289740139662673	0.28495841467525	2016	Right_Arm	shannon
Gender	0.0479597667478728	1	0.0831792164796348	0.773789751682756	0.00105179403893137	0.95	0	0.0542249811720171	2016	Right_Arm	shannon
Residuals	45.5500993329216	79	NA	NA	NA	NA	NA	NA	2016	Right_Arm	shannon
(Intercept)	9747352.32968686	1	814.913693407631	1.12178325671886e-64	NA	NA	NA	NA	2015	Right_Arm	observed_otus
Age_num	148.455108226044	1	0.0124113806968135	0.911433736617291	7.75651125417057e-05	0.95	0	0.015628715958802	2015	Right_Arm	observed_otus
Expo	411916.057219485	1	34.4376630913703	2.45790297499702e-08	0.177114158562929	0.95	0.0826780575914918	0.281763692927212	2015	Right_Arm	observed_otus
Gender	72055.9394053745	1	6.02413555258001	0.015183038186691	0.0362846975985137	0.95	0.00117676725024757	0.109208529413021	2015	Right_Arm	observed_otus
Residuals	1913793.30764267	160	NA	NA	NA	NA	NA	NA	2015	Right_Arm	observed_otus
(Intercept)	4984385.25443996	1	252.238928914725	2.62989855856434e-26	NA	NA	NA	NA	2016	Right_Arm	observed_otus
Age_num	6012.7809941459	1	0.304281743954519	0.582767511036436	0.00383688922291658	0.95	0	0.0728667879191229	2016	Right_Arm	observed_otus
Expo	65158.2051226802	1	3.29738473877206	0.0731843055362568	0.0400667013810779	0.95	0	0.153884029411856	2016	Right_Arm	observed_otus
Gender	3621.88417085982	1	0.18328843724451	0.669727240134014	0.00231473636498151	0.95	0	0.0649124607776906	2016	Right_Arm	observed_otus
Residuals	1561085.10607369	79	NA	NA	NA	NA	NA	NA	2016	Right_Arm	observed_otus
(Intercept)	191507.044475475	1	1354.08907281086	5.50328473875778e-80	NA	NA	NA	NA	2015	Right_Hand	faith_pd
Age_num	588.063172089231	1	4.15801892629853	0.0430833597101253	0.0253293683336014	0.95	0	0.0912652901941318	2015	Right_Hand	faith_pd
Expo	16154.7068837208	1	114.225103967442	1.84806752327705e-20	0.416537736023628	0.95	0.305655584683235	0.512051125863583	2015	Right_Hand	faith_pd
