Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Residuals	44.912495209327	40	NA	NA	NA	NA	NA	NA	2016	Nose	shannon
Urban	0.394547120629433	1	0.351391851012096	0.556663017303969	0.0087082956719195	0.95	0	0.138708614268916	2016	Nose	shannon
Urban:Gender	2.87651529547525	1	2.5618841991018	0.117337590378429	0.0601919827401782	0.95	0	0.242845694549378	2016	Nose	shannon
(Intercept)	1834.00289273728	1	0.202111754070713	0.655279730476075	NA	NA	NA	NA	2015	Nose	observed_otus
Age_num	45610.4890729709	1	5.02639117259111	0.0301760841019229	0.104658939592773	0.95	0	0.295386944997437	2015	Nose	observed_otus
Age_num:Gender	614.138283136301	1	0.0676795909854842	0.795987455698263	0.00157147056976922	0.95	0	0.0908302977600229	2015	Nose	observed_otus
Age_num:Urban	15054.550004461	1	1.65904945962522	0.204620191532532	0.0371492335752715	0.95	0	0.198107712162095	2015	Nose	observed_otus
Gender	3723.25782395556	1	0.410312422427003	0.525210044090458	0.00945195736981205	0.95	0	0.135002512874722	2015	Nose	observed_otus
Residuals	390190.688069094	43	NA	NA	NA	NA	NA	NA	2015	Nose	observed_otus
Urban	3238.67418188707	1	0.356910080325862	0.553360553092446	0.00823190766280685	0.95	0	0.130749694693396	2015	Nose	observed_otus
Urban:Gender	6448.4977890696	1	0.710640754401837	0.403896081182837	0.0162578434481145	0.95	0	0.15455292769487	2015	Nose	observed_otus
(Intercept)	30979.6542560645	1	7.33726494696583	0.00989201811685658	NA	NA	NA	NA	2016	Nose	observed_otus
Age_num	12.8058391678787	1	0.0030329529847663	0.956355062736414	7.58180758026748e-05	0.95	0	0.0271327587551696	2016	Nose	observed_otus
Age_num:Gender	1557.1946167461	1	0.36880816624409	0.547086871889972	0.00913596865989426	0.95	0	0.140226632888078	2016	Nose	observed_otus
Age_num:Urban	207.66705559814	1	0.0491841579342855	0.825617407110186	0.00122809387927423	0.95	0	0.08987992325459	2016	Nose	observed_otus
Gender	5192.33907017592	1	1.22976089847436	0.274076629825184	0.0298270198923193	0.95	0	0.19136755120117	2016	Nose	observed_otus
